arm muscle
democracy monarchy
roof ceiling
friend teacher
hand foot
biography fiction
disc computer
fencing gymnastics
bank seat
emperor constitution
gun trick
size magnitude
ball glove
sheep cattle
lizard crocodile
friend guest
birthday date
car cab
bone teeth
umbrella heater
frustration anger
asset stock
action course
celebration ceremony
essay homework
circumnavigation baggage
mob crowd
shoulder head
archer pathfinder
myth satire
winner candidate
combat belligerence
door gate
bowling bowler
circumstance situation
convocation gathering
care caution
gravity meteor
dinner chicken
sensor radiator
popcorn cinema
house apartment
cent wife
word literature
broom dust
snowboard skiing
son father
seed mustard
cat rabbit
biologist microscope
badge glass
gossip news
dice cube
tower bell
hardware case
god priest
river valley
automobile car
mother wife
tree maple
rice boy
guy stud
harbor wrapper
intelligence logic
day morning
weapon helmet
monastery shower
winner presence
television cinema
steak meat
piston engine
virus blood
man sentry
sheep lamb
car highway
endurance strength
entropy information
noise rattle
money salary
teacher helper
author creator
wallpaper background
beer champagne
capability competence
hand wrist
chapter choice
august month
course stomach
monk cross
star brightness
vision perception
wine brandy
room bath
hallway corridor
orange citrus
church choir
clothes drawer
day dawn
beast animal
jar bottle
river sea
fact insight
tribunal justice
past antecedent
globalism visa
monster demon
lawyer banker
spoon cup
second minute
happiness sadness
galaxy astronomer
worker camera
kidney organ
football soccer
guy girl
boy brother
exchange replacement
poet journalist
remainder difference
cow goat
parliament congress
fun football
wealth poverty
cab bus
alcohol gin
heart surgery
elegance style
cattle beef
task highway
night day
container mouse
game trick
cattle yogurt
ostrich orchard
people balloon
door kitchen
business industry
pollution president
sea ocean
chapel cable
clothes button
deck mouse
denial confession
ball cannon
girl child
anatomy biology
dairy honey
house barn
dinner soup
accident catastrophe
curve angle
character person
basketball baseball
symbol sign
king princess
couple pair
photophone homophone
target arrow
priest monk
student pupil
baby daughter
apple sauce
prince king
presence door
bed couch
geyser spring
digit number
hashtag topic
confidence self
doctor orthodontist
jail choice
car elevator
camera president
infection inflection
seedling leaf
capacitor diode
racket ball
paper cardboard
demon angel
bed chair
gold zinc
crib cradle
subroutine compiler
dad mother
band parade
illness infection
body stomach
cat pet
vessel vein
mother guardian
vexillology flag
sense intuition
atom carbon
