arm muscle
democracy monarchy
roof ceiling
friend teacher
hand foot
biography fiction
disc computer
fencing gymnastics
bank seat
emperor constitution
gun trick
size magnitude
ball glove
sheep cattle
lizard crocodile
friend guest
birthday date
car cab
bone teeth
umbrella heater
frustration anger
asset stock
action course
celebration ceremony
essay homework
circumnavigation baggage
mob crowd
shoulder head
archer pathfinder
myth satire
winner candidate
combat belligerence
door gate
bowling bowler
circumstance situation
convocation gathering
care caution
gravity meteor
dinner chicken
sensor radiator
popcorn cinema
house apartment
cent wife
word literature
broom dust
snowboard skiing
son father
seed mustard
cat rabbit
biologist microscope
badge glass
gossip news
dice cube
tower bell
hardware case
god priest
river valley
automobile car
mother wife
tree maple
rice boy
guy stud
harbor wrapper
intelligence logic
